rank,title,rating_num,year,director,quote,star
142,时空恋旅人,8.8,2013,理查德·柯蒂斯 Richard Curtis,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,465863
143,教父3,8.9,1990,弗朗西斯·福特·科波拉 Francis Ford Coppola,任何信念的力量，都无法改变命运。,281428
144,釜山行,8.6,2016,延尚昊 Sang-ho Yeon,揭露人性的丧尸题材力作。,935318
145,血战钢锯岭,8.7,2016,梅尔·吉布森 Mel Gibson,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,643568
146,哪吒闹海,9.1,1979,严定宪 Dingxian Yan / 王树忱 Shuchen Wang,想你时你在闹海。,201167
147,被解救的姜戈,8.7,2012,昆汀·塔伦蒂诺 Quentin Tarantino,热血沸腾，那个低俗、性感的无耻混蛋又来了。,483060
148,七武士,9.3,1954,黑泽明 Akira Kurosawa,时代悲歌。,152882
149,一个叫欧维的男人决定去死,8.9,2015,汉内斯·赫尔姆 Hannes Holm,惠及一生的美丽。,327532
150,喜宴,8.9,1993,李安 Ang Lee,中国家庭的喜怒哀乐忍。,272236
151,电锯惊魂,8.7,2004,詹姆斯·温 James Wan,真相就在眼前。,412733
152,风之谷,8.9,1984,宫崎骏 Hayao Miyazaki,动画片的圣经。,302171
153,我是山姆,8.9,2001,杰茜·尼尔森 Jessie Nelson,爱并不需要智商 。,250996
154,头号玩家,8.6,2018,史蒂文·斯皮尔伯格 Steven Spielberg,写给影迷，动漫迷和游戏迷的一封情书。,1117088
155,英雄本色,8.7,1986,吴宇森 John Woo,英雄泪短，兄弟情长。,413351
156,上帝之城,9.0,2002,"费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund",被上帝抛弃了的上帝之城。,249802
157,未麻的部屋,9.0,1997,今敏 Satoshi Kon,好的剧本是，就算你猜到了结局也猜不到全部。,227948
158,谍影重重3,8.8,2007,保罗·格林格拉斯 Paul Greengrass,像吃了苏打饼一样干脆的电影。,343507
159,疯狂原始人,8.7,2013,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,老少皆宜，这就是好莱坞动画的魅力。,697831
160,卢旺达饭店,8.9,2004,特瑞·乔治 Terry George,当这个世界闭上双眼，他却敞开了怀抱。,247036
161,三块广告牌,8.7,2017,马丁·麦克唐纳 Martin McDonagh,怼天怼地，你走后，她与世界为敌。,667930
162,纵横四海,8.8,1991,吴宇森 John Woo,香港浪漫主义警匪动作片的巅峰之作。,329737
163,花样年华,8.7,2000,王家卫 Kar Wai Wong,偷情本没有这样美。,463257
164,岁月神偷,8.7,2010,罗启锐 Alex Law,岁月流逝，来日可追。,494423
165,达拉斯买家俱乐部,8.8,2013,让-马克·瓦雷 Jean-Marc Vallée,Jared Leto的腿比女人还美！,360615
166,模仿游戏,8.7,2014,莫滕·泰杜姆 Morten Tyldum,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,490801
167,心迷宫,8.7,2014,忻钰坤 Yukun Xin,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,397777
168,黑客帝国3：矩阵革命,8.8,2003,Andy Wachowski / Larry Wachowski,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,343195
169,新世界,8.8,2013,朴勋政 Hoon-jung Park,要做就做得狠一点，这样才能活下去。,286878
170,记忆碎片,8.6,2000,克里斯托弗·诺兰 Christopher Nolan,一个针管引发的血案。,497059
171,头脑特工队,8.7,2015,"彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen",愿我们都不用长大，每一座城堡都能永远存在。,475822
172,荒蛮故事,8.8,2014,达米安·斯兹弗隆 Damián Szifron,始于荒诞，止于更荒诞。,343155
173,你的名字。,8.4,2016,新海诚 Makoto Shinkai,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,1108348
174,忠犬八公物语,9.2,1987,Seijirô Kôyama,养狗三日，便会对你终其一生。,151905
175,真爱至上,8.6,2003,理查德·柯蒂斯 Richard Curtis,爱，是个动词。,589641
176,爆裂鼓手,8.7,2014,达米恩·查泽雷 Damien Chazelle,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,452192
177,贫民窟的百万富翁,8.6,2008,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,616481
178,东邪西毒,8.6,1994,王家卫 Kar Wai Wong,电影诗。,477669
179,萤火虫之墓,8.7,1988,高畑勋 Isao Takahata,幸福是生生不息，却难以触及的远。,346532
180,海街日记,8.8,2015,是枝裕和 Hirokazu Koreeda,是枝裕和的家庭习作。,332758
181,惊魂记,9.0,1960,阿尔弗雷德·希区柯克 Alfred Hitchcock,故事的反转与反转，分裂电影的始祖。,200679
182,黑天鹅,8.6,2010,达伦·阿罗诺夫斯基 Darren Aronofsky,黑暗之美。,677938
183,无敌破坏王,8.7,2012,瑞奇·莫尔 Rich Moore,迪士尼和皮克斯拿错剧本的产物。,427496
184,你看起来好像很好吃,8.9,2010,藤森雅也 Masaya Fujimori,感情不分食草或者食肉。,272893
185,寄生虫,8.7,2019,奉俊昊 Joon-ho Bong,,1097734
186,冰川时代,8.6,2002,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,松鼠才是角儿。,504862
187,小偷家族,8.7,2018,是枝裕和 Hirokazu Koreeda,我们组成了家。,666032
188,绿里奇迹,8.9,1999,Frank Darabont,天使暂时离开。,239408
189,哈利·波特与火焰杯,8.6,2005,迈克·内威尔 Mike Newell,,444694
190,雨人,8.7,1988,巴瑞·莱文森 Barry Levinson,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,334975
191,爱在午夜降临前,8.8,2013,理查德·林克莱特 Richard Linklater,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,279095
192,恋恋笔记本,8.5,2004,尼克·卡索维茨 Nick Cassavetes,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,530154
193,疯狂的石头,8.5,2006,宁浩 Hao Ning,中国版《两杆大烟枪》。,647659
194,恐怖游轮,8.5,2009,克里斯托弗·史密斯 Christopher Smith,不要企图在重复中寻找已经失去的爱。,639065
195,奇迹男孩,8.6,2017,斯蒂芬·卓博斯基 Stephen Chbosky,世界不完美，爱会有奇迹。,462824
196,九品芝麻官,8.6,1994,王晶 Jing Wong,,479223
197,雨中曲,9.0,1952,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,骨灰级歌舞片。,166364
198,魔女宅急便,8.7,1989,宫崎骏 Hayao Miyazaki,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,370542
199,二十二,8.7,2015,郭柯 Ke Guo,有一些东西不应该被遗忘。,236842
200,虎口脱险,8.9,1966,杰拉尔·乌里 Gérard Oury,永远看不腻的喜剧。,192186
201,海边的曼彻斯特,8.6,2016,肯尼斯·罗纳根 Kenneth Lonergan,我们都有权利不与自己的过去和解。,389690
202,房间,8.8,2015,伦尼·阿伯拉罕森 Lenny Abrahamson,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,316116
203,人工智能,8.7,2001,史蒂文·斯皮尔伯格 Steven Spielberg,对爱的执着，可以超越一切。,354156
204,2001太空漫游,8.8,1968,斯坦利·库布里克 Stanley Kubrick,现代科幻电影的开山之作，最伟大导演的最伟大影片。,234808
205,色，戒,8.5,2007,李安 Ang Lee,假戏真情，爱欲深海,561620
206,可可西里,8.8,2004,陆川 Chuan Lu,坚硬的信仰。,237948
207,城市之光,9.3,1931,Charles Chaplin,永远的小人物，伟大的卓别林。,106893
208,罗生门,8.8,1950,黑泽明 Akira Kurosawa,人生的N种可能性。,245992
209,终结者2：审判日,8.7,1991,詹姆斯·卡梅隆 James Cameron,少见的超越首部的续集，动作片中的经典。,280915
210,初恋这件小事,8.4,2010,"普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭",黑小鸭速效美白记。,830073
211,魂断蓝桥,8.8,1940,茂文·勒鲁瓦 Mervyn LeRoy,中国式内在的美国电影。,224265
212,大佛普拉斯,8.7,2017,黄信尧 Hsin-yao Huang,人们可以登上月球，却永远无法探索人们内心的宇宙。,326621
213,遗愿清单,8.7,2007,罗伯·莱纳 Rob Reiner,用剩余不多的时间，去燃烧整个生命。,318810
214,牯岭街少年杀人事件,8.9,1991,杨德昌 Edward Yang,弱者送给弱者的一刀。,208718
215,波西米亚狂想曲,8.7,2018,布莱恩·辛格 Bryan Singer,,463909
216,源代码,8.5,2011,邓肯·琼斯 Duncan Jones,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,666941
217,新龙门客栈,8.6,1992,李惠民 Raymond Lee,嬉笑怒骂，调风动月。,355380
218,青蛇,8.6,1993,徐克 Hark Tsui,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,412646
219,无耻混蛋,8.6,2009,Quentin Tarantino,昆汀同学越来越变态了，比北野武还杜琪峰。,384396
220,海洋,9.1,2009,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,大海啊，不全是水。,138201
221,燃情岁月,8.8,1994,爱德华·兹威克 Edward Zwick,传奇，不是每个人都可以拥有。,235891
222,疯狂的麦克斯4：狂暴之路,8.6,2015,乔治·米勒 George Miller,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,417791
223,血钻,8.7,2006,爱德华·兹威克 Edward Zwick,每个美丽事物背后都是滴血的现实。,293012
224,步履不停,8.8,2008,是枝裕和 Hirokazu Koreeda,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,212661
225,穿越时空的少女,8.6,2006,细田守 Mamoru Hosoda,爱上未来的你。,320436
226,谍影重重2,8.7,2004,保罗·格林格拉斯 Paul Greengrass,谁说王家卫镜头很晃？,288185
227,阿飞正传,8.5,1990,王家卫 Kar Wai Wong,王家卫是一种风格，张国荣是一个代表。,400251
228,彗星来的那一夜,8.5,2013,詹姆斯·沃德·布柯特 James Ward Byrkit,小成本大魅力。,418178
229,战争之王,8.7,2005,安德鲁·尼科尔 Andrew Niccol,做一颗让别人需要你的棋子。,285756
230,地球上的星星,8.9,2007,阿米尔·汗 Aamir Khan,天使保护事件始末。,168684
231,完美陌生人,8.5,2016,保罗·格诺维瑟 Paolo Genovese,来啊，互相伤害啊！,441922
232,谍影重重,8.6,2002,道格·里曼 Doug Liman,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,344448
233,香水,8.5,2006,汤姆·提克威 Tom Tykwer,一个单凭体香达到高潮的男人。,456766
234,东京教父,9.0,2003,今敏 Satoshi Kon,,141532
235,无间道2,8.6,2003,刘伟强 / 麦兆辉,,331134
236,东京物语,9.2,1953,小津安二郎 Yasujirô Ozu,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,105623
237,千钧一发,8.8,1997,安德鲁·尼科尔 Andrew Niccol,一部能引人思考的科幻励志片。,208307
238,黑客帝国2：重装上阵,8.6,2003,Andy Wachowski / Larry Wachowski,一个精彩的世界观正在缓缓建立。,302980
239,朗读者,8.6,2008,史蒂芬·戴德利 Stephen Daldry,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。,392127
